alpha,target_ret,port_ret_ann,cvar_ann,sharpe_est,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,CPSEETF.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GOLDBEES.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LIQUIDBEES.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
0.01,0.02124493672427364,5.3537240546629175,0.6400099832373078,5.721191563245902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454948,0.0,0.006698,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.443336,0.0,0.0,0.0,0.0,0.0,0.0,0.074608,0.0,0.0,0.02041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.022255299266015802,5.608335415039696,0.6706984726600033,5.993278871448772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476722,0.0,0.007011,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.416701,0.0,0.0,0.0,0.0,0.0,0.0,0.078178,0.0,0.0,0.021388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.02326566180775796,5.862946775562269,0.701386916796123,6.265366179807443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498497,0.0,0.007322,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.390066,0.0,0.0,0.0,0.0,0.0,0.0,0.081751,0.0,0.0,0.022364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.024276024349500124,6.117558136136427,0.7320753451889762,6.5374534882212405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520271,0.0,0.007633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363431,0.0,0.0,0.0,0.0,0.0,0.0,0.085324,0.0,0.0,0.02334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.025286386891242286,6.372169496611553,0.7627638039496955,6.809540796529208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542046,0.0,0.007944,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.336797,0.0,0.0,0.0,0.0,0.0,0.0,0.088897,0.0,0.0,0.024316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.026296749432984445,6.626780857122011,0.7934522518786965,7.081628104874932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56382,0.0,0.008255,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.310162,0.0,0.0,0.0,0.0,0.0,0.0,0.09247,0.0,0.0,0.025292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.027307111974726607,6.881392217633421,0.8241406995909126,7.353715413221674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585595,0.0,0.008566,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.283527,0.0,0.0,0.0,0.0,0.0,0.0,0.096044,0.0,0.0,0.026268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.02831747451646877,7.136003578164826,0.8548291409822941,7.625802721589784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607369,0.0,0.008877,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.256893,0.0,0.0,0.0,0.0,0.0,0.0,0.099617,0.0,0.0,0.027244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.029327837058210928,7.390614938671751,0.8855175900994406,7.897890029931734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629144,0.0,0.009188,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.230258,0.0,0.0,0.0,0.0,0.0,0.0,0.10319,0.0,0.0,0.02822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03033819959995309,7.645226299192027,0.9162060350121776,8.16997733828795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.650918,0.0,0.009499,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.203623,0.0,0.0,0.0,0.0,0.0,0.0,0.106763,0.0,0.0,0.029196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
